X,Y,Z,SIGNAL_STRENGTH
-91,29,217,175
-97,32,214,167
-111,36,223,159
-116,38,216,167
-135,44,212,98
-149,48,218,159
-173,56,213,98
-183,59,210,159
-188,61,183,98
-131,43,104,70
-131,42,97,167
-129,42,90,167
-125,41,81,183
-126,41,76,167
-127,41,72,183
-128,42,68,167
-130,42,64,175
-128,42,58,183
-128,42,53,175
-126,41,48,175
-125,41,43,175
-127,41,40,183
-122,40,34,167
-126,41,30,175
-128,42,26,183
-129,42,22,175
-127,41,17,175
-128,42,13,183
-128,42,9,175
-126,41,4,175
-129,42,0,183
-131,43,-4,175
-127,41,-8,183
-128,42,-12,183
-145,47,-33,30
-1376,447,-4031,30
17,-5,-10,35
59,-19,-33,167
58,-19,-26,98
56,-18,-23,167
58,-19,-17,84
66,-22,-14,84
58,-19,-6,84
62,-20,-2,98
65,-21,10,167
55,-18,11,167
61,-20,14,167
58,-19,16,159
58,-19,18,175
52,-17,17,175
64,-21,24,159
52,-17,22,159
52,-17,24,175
52,-17,27,159
55,-18,30,167
51,-17,30,175
52,-17,33,175
64,-21,44,175
61,-20,45,167
49,-16,39,167
54,-18,46,159
58,-19,52,159
54,-18,53,159
54,-18,56,159
55,-18,71,84
52,-17,79,98
56,-18,92,167
53,-17,93,175
56,-18,104,175
93,-30,215,98
88,-29,219,167
82,-27,222,175
73,-24,222,175
66,-22,222,175
58,-19,220,183
53,-17,227,183
44,-14,220,175
36,-12,213,175
32,-10,221,175
26,-8,224,183
18,-6,214,167
13,-4,220,183
6,-2,215,175
1,0,215,175
-6,2,217,175
-12,4,215,183
-18,6,214,183
-26,8,219,175
-32,10,214,175
-38,12,212,175
-46,15,217,167
-51,17,209,167
-60,19,218,167
-68,22,220,167
-72,23,213,183
-78,25,213,175
-86,28,214,167
-93,30,210,175
-103,33,216,167
-110,36,215,183
-123,40,221,167
-130,42,216,159
-141,46,218,175
-146,48,210,159
-180,58,216,98
-191,62,191,84
-145,47,114,70
-130,42,95,167
-128,41,87,183
-129,42,82,175
-128,42,76,167
-134,44,74,175
-128,41,65,175
-129,42,61,175
-129,42,55,175
-127,41,49,175
-126,41,45,183
-127,41,40,167
-125,41,35,175
-128,41,32,183
-131,43,28,175
-127,41,23,175
-128,42,19,175
-128,41,15,175
-131,43,10,175
-129,42,6,175
-126,41,1,175
-126,41,-2,175
-127,41,-6,183
-128,42,-11,183
-131,43,-18,183
-11,4,-5,40
-198,64,-7066,30
50,-16,-26,60
55,-18,-26,159
56,-18,-20,84
58,-19,-15,84
59,-19,-9,84
63,-20,-3,84
60,-19,-1,167
60,-19,1,159
56,-18,3,167
60,-19,5,167
59,-19,11,98
55,-18,12,167
56,-18,14,167
64,-21,18,159
55,-18,18,167
57,-18,20,167
62,-20,25,167
58,-19,25,159
54,-17,26,159
50,-16,26,159
54,-18,31,159
58,-19,35,159
56,-18,37,175
53,-17,38,159
58,-19,45,159
59,-19,49,167
55,-18,54,98
54,-18,64,84
53,-17,76,84
52,-17,89,98
51,-17,94,159
92,-30,208,98
91,-30,226,159
81,-26,220,175
73,-24,220,175
66,-22,223,175
59,-19,223,167
53,-17,226,167
46,-15,228,175
37,-12,213,175
32,-10,225,183
24,-8,222,167
18,-6,224,175
11,-4,224,175
4,-1,221,175
-2,1,218,183
-9,3,217,175
-16,5,216,175
-22,7,219,175
-29,9,216,175
-36,12,217,175
-43,14,218,175
-48,15,214,167
-53,17,209,167
-62,20,215,175
-68,22,213,167
-79,26,221,175
-86,28,220,159
-89,29,209,175
-98,32,212,167
-108,35,214,167
-114,37,209,167
-124,40,211,159
-136,44,213,167
-147,48,214,159
-163,53,219,159
-174,57,217,159
-182,59,210,159
-194,63,188,98
-136,44,106,70
-137,44,100,159
-125,41,85,175
-130,42,83,159
-128,42,76,175
-125,41,70,183
-131,42,67,175
-129,42,61,175
-131,43,57,175
-127,41,50,175
-128,42,46,175
-126,41,41,175
-129,42,36,175
-130,42,32,175
-129,42,28,167
-127,41,23,175
-126,41,18,175
-130,42,14,175
-129,42,10,175
-129,42,6,183
-129,42,1,175
-125,40,-2,183
-127,41,-6,175
-128,42,-11,183
-139,45,-22,175
254,-82,-225,20
60,-19,-31,70
55,-18,-22,84
60,-19,-18,84
63,-20,-12,84
63,-21,-6,84
58,-19,0,98
63,-20,2,159
61,-20,4,159
56,-18,8,98
55,-18,10,167
58,-19,13,159
53,-17,14,167
57,-18,17,167
60,-19,20,167
55,-18,20,167
59,-19,24,159
57,-19,25,175
52,-17,25,159
55,-18,29,159
58,-19,33,167
55,-18,34,175
64,-21,43,159
56,-18,40,167
57,-18,44,167
59,-19,49,167
55,-18,55,98
56,-18,68,84
53,-17,78,84
55,-18,86,175
53,-17,90,183
57,-19,104,183
78,-25,153,159
95,-31,226,98
86,-28,225,175
78,-25,223,175
72,-23,226,175
64,-21,220,175
57,-19,219,183
50,-16,219,159
43,-14,222,175
35,-11,213,175
29,-9,217,167
22,-7,217,175
17,-5,217,175
10,-3,223,167
3,-1,216,167
-3,1,219,183
-10,3,216,183
-16,5,219,167
-23,7,217,167
-30,10,216,183
-37,12,220,175
-42,14,213,175
-50,16,216,175
-58,19,220,175
-63,20,213,183
-71,23,215,183
-78,25,215,167
-85,28,216,175
-94,30,217,175
-99,32,211,167
-106,35,212,167
-116,38,215,167
-127,41,216,175
-135,44,212,175
-148,48,215,159
-161,52,218,159
-188,61,213,84
-185,60,171,70
-131,42,97,70
-125,41,86,167
-127,41,82,175
-129,42,77,175
-127,41,71,175
-130,42,68,183
-125,41,60,167
-131,42,58,183
-126,41,51,175
-137,44,50,175
-126,41,41,175
-130,42,38,183
-126,41,32,183
-127,41,29,183
-130,42,25,167
-124,40,19,175
-124,40,15,175
-122,40,11,175
-126,41,7,167
-124,40,3,175
-127,41,-2,175
-124,40,-6,183
-131,43,-11,183
-127,41,-14,175
-40,13,-16,35
-109,36,-138,35
1019,-331,-1224,25
54,-18,-29,50
59,-19,-25,84
55,-18,-21,159
61,-20,-17,84
58,-19,-13,159
63,-21,-8,84
61,-20,-2,84
60,-19,1,159
64,-21,3,159
60,-19,5,175
62,-20,7,159
57,-19,9,167
54,-18,10,167
57,-18,13,167
55,-18,14,159
59,-19,18,175
58,-19,19,167
56,-18,21,159
58,-19,24,167
60,-20,27,167
54,-17,30,98
57,-19,34,159
55,-18,36,167
54,-18,37,167
52,-17,42,98
61,-20,54,159
55,-18,52,159
51,-17,59,84
55,-18,78,84
55,-18,92,98
58,-19,103,159
67,-22,131,183
93,-30,220,98
85,-27,219,167
78,-25,221,159
69,-22,218,175
63,-20,221,175
55,-18,218,183
47,-15,215,167
41,-13,221,175
34,-11,219,183
28,-9,221,175
22,-7,217,183
15,-5,221,175
9,-3,222,175
3,-1,220,175
-4,1,215,167
-10,3,211,183
-16,5,215,175
-23,7,215,159
-30,10,220,175
-36,12,216,183
-44,14,222,183
-50,16,216,183
-55,18,214,175
-62,20,216,175
-70,23,217,167
-77,25,216,175
-85,28,217,167
-87,28,208,175
-100,32,217,167
-110,36,221,183
-117,38,219,167
-126,41,218,167
-137,45,221,167
-150,49,223,159
-154,50,214,167
-183,60,214,98
-195,63,189,84
-134,44,105,70
-124,40,91,167
-128,42,88,175
-127,41,80,167
-126,41,74,175
-128,42,70,175
-130,42,66,167
-122,40,56,183
-128,42,54,167
-124,40,48,175
-128,42,45,175
-124,40,39,183
-122,40,34,175
-122,40,29,167
-129,42,27,175
-127,41,22,175
-127,41,17,167
-127,41,13,175
-127,41,9,175
-127,41,5,183
-126,41,0,175
-125,41,-4,175
-126,41,-8,175
-127,41,-12,175
-604,196,-439,30
1802,-585,-3994,25
55,-18,-31,65
50,-16,-26,159
56,-18,-26,159
60,-20,-22,84
56,-18,-14,84
58,-19,-8,84
62,-20,-3,84
